x,y,d,s,T
-0.00089775,0.00155957,-1.00000000,-0.23771582,0.00000000
-0.00088644,0.00153724,-1.00000000,-0.23240374,0.00000000
-0.00087459,0.00151520,-1.00000000,-0.22709165,0.00000000
-0.00086218,0.00149346,-1.00000000,-0.22177957,0.00000000
-0.00084922,0.00147204,-1.00000000,-0.21646748,0.00000000
-0.00083575,0.00145094,-1.00000000,-0.21115539,0.00000000
-0.00082175,0.00143020,-1.00000000,-0.20584331,0.00000000
-0.00080722,0.00140981,-1.00000000,-0.20053121,0.00000000
-0.00079220,0.00138979,-1.00000000,-0.19521913,0.00000000
-0.00077668,0.00137015,-1.00000000,-0.18990704,0.00000000
-0.00076066,0.00135091,-1.00000000,-0.18459495,0.00000000
-0.00074419,0.00133207,-1.00000000,-0.17928286,0.00000000
-0.00072723,0.00131366,-1.00000000,-0.17397078,0.00000000
-0.00070982,0.00129567,-1.00000000,-0.16865869,0.00000000
-0.00069197,0.00127812,-1.00000000,-0.16334661,0.00000000
-0.00067368,0.00126103,-1.00000000,-0.15803453,0.00000000
-0.00065497,0.00124440,-1.00000000,-0.15272244,0.00000000
-0.00063586,0.00122824,-1.00000000,-0.14741036,0.00000000
-0.00061634,0.00121257,-1.00000000,-0.14209828,0.00000000
-0.00059644,0.00119739,-1.00000000,-0.13678619,0.00000000
-0.00057617,0.00118270,-1.00000000,-0.13147411,0.00000000
-0.00055552,0.00116855,-1.00000000,-0.12616203,0.00000000
-0.00053454,0.00115490,-1.00000000,-0.12084995,0.00000000
-0.00051322,0.00114178,-1.00000000,-0.11553786,0.00000000
-0.00049158,0.00112921,-1.00000000,-0.11022578,0.00000000
-0.00046963,0.00111717,-1.00000000,-0.10491370,0.00000000
-0.00044739,0.00110569,-1.00000000,-0.09960161,0.00000000
-0.00042486,0.00109478,-1.00000000,-0.09428953,0.00000000
-0.00040207,0.00108442,-1.00000000,-0.08897744,0.00000000
-0.00037903,0.00107465,-1.00000000,-0.08366536,0.00000000
-0.00035574,0.00106546,-1.00000000,-0.07835327,0.00000000
-0.00033224,0.00105684,-1.00000000,-0.07304118,0.00000000
-0.00030853,0.00104882,-1.00000000,-0.06772909,0.00000000
-0.00028462,0.00104140,-1.00000000,-0.06241700,0.00000000
-0.00026054,0.00103457,-1.00000000,-0.05710491,0.00000000
-0.00023630,0.00102835,-1.00000000,-0.05179283,0.00000000
-0.00021190,0.00102275,-1.00000000,-0.04648074,0.00000000
-0.00018737,0.00101774,-1.00000000,-0.04116865,0.00000000
-0.00016273,0.00101336,-1.00000000,-0.03585657,0.00000000
-0.00013798,0.00100961,-1.00000000,-0.03054449,0.00000000
-0.00011315,0.00100645,-1.00000000,-0.02523240,0.00000000
-0.00008824,0.00100394,-1.00000000,-0.01992032,0.00000000
-0.00006329,0.00100204,-1.00000000,-0.01460824,0.00000000
-0.00003829,0.00100076,-1.00000000,-0.00929615,0.00000000
-0.00001326,0.00100013,-1.00000000,-0.00398407,0.00000000
0.00001177,0.00099995,-1.00000000,0.00132803,0.00000000
0.00003680,0.00099971,-1.00000000,0.00132803,0.00000000
0.00006183,0.00099931,-1.00000000,0.00398407,0.00000000
0.00008685,0.00099869,-1.00000000,0.00664011,0.00000000
0.00011187,0.00099784,-1.00000000,0.00664011,0.00000000
0.00013688,0.00099683,-1.00000000,0.00929615,0.00000000
0.00016188,0.00099557,-1.00000000,0.01195219,0.00000000
0.00018687,0.00099410,-1.00000000,0.01195219,0.00000000
0.00021185,0.00099247,-1.00000000,0.01460824,0.00000000
0.00023681,0.00099059,-1.00000000,0.01726428,0.00000000
0.00026175,0.00098848,-1.00000000,0.01726428,0.00000000
0.00028668,0.00098622,-1.00000000,0.01992032,0.00000000
0.00031159,0.00098372,-1.00000000,0.02257636,0.00000000
0.00033647,0.00098100,-1.00000000,0.02257636,0.00000000
0.00036134,0.00097812,-1.00000000,0.02523240,0.00000000
0.00038617,0.00097498,-1.00000000,0.02788844,0.00000000
0.00041098,0.00097164,-1.00000000,0.02788844,0.00000000
0.00043577,0.00096814,-1.00000000,0.03054449,0.00000000
0.00046052,0.00096440,-1.00000000,0.03320053,0.00000000
0.00048523,0.00096042,-1.00000000,0.03320053,0.00000000
0.00050992,0.00095630,-1.00000000,0.03585657,0.00000000
0.00053457,0.00095194,-1.00000000,0.03851261,0.00000000
0.00055918,0.00094735,-1.00000000,0.03851261,0.00000000
0.00058376,0.00094262,-1.00000000,0.04116865,0.00000000
0.00060829,0.00093763,-1.00000000,0.04382470,0.00000000
0.00063278,0.00093243,-1.00000000,0.04382470,0.00000000
0.00065723,0.00092707,-1.00000000,0.04648074,0.00000000
0.00068163,0.00092149,-1.00000000,0.04913678,0.00000000
0.00070598,0.00091568,-1.00000000,0.04913678,0.00000000
0.00073029,0.00090971,-1.00000000,0.05179283,0.00000000
0.00075454,0.00090351,-1.00000000,0.05444887,0.00000000
0.00077874,0.00089709,-1.00000000,0.05444887,0.00000000
0.00080289,0.00089053,-1.00000000,0.05710491,0.00000000
0.00082698,0.00088371,-1.00000000,0.05976096,0.00000000
0.00085100,0.00087669,-1.00000000,0.05976096,0.00000000
0.00087499,0.00086951,-1.00000000,0.06241700,0.00000000
0.00089890,0.00086212,-1.00000000,0.06507305,0.00000000
0.00092274,0.00085449,-1.00000000,0.06507305,0.00000000
0.00094654,0.00084672,-1.00000000,0.06772909,0.00000000
0.00097025,0.00083871,-1.00000000,0.07038513,0.00000000
0.00099390,0.00083050,-1.00000000,0.07038513,0.00000000
0.00101750,0.00082214,-1.00000000,0.07304118,0.00000000
0.00104100,0.00081354,-1.00000000,0.07569723,0.00000000
0.00106444,0.00080473,-1.00000000,0.07569723,0.00000000
0.00108781,0.00079578,-1.00000000,0.07835327,0.00000000
0.00111110,0.00078661,-1.00000000,0.08100931,0.00000000
0.00113431,0.00077722,-1.00000000,0.08100931,0.00000000
0.00115745,0.00076768,-1.00000000,0.08366536,0.00000000
0.00118050,0.00075791,-1.00000000,0.08632140,0.00000000
0.00120346,0.00074795,-1.00000000,0.08632140,0.00000000
0.00122637,0.00073785,-1.00000000,0.08897744,0.00000000
0.00124916,0.00072750,-1.00000000,0.09163349,0.00000000
0.00127187,0.00071696,-1.00000000,0.09163349,0.00000000
0.00129450,0.00070628,-1.00000000,0.09428953,0.00000000
0.00131704,0.00069539,-1.00000000,0.09694557,0.00000000
0.00133948,0.00068428,-1.00000000,0.09694557,0.00000000
0.00136184,0.00067304,-1.00000000,0.09960161,0.00000000
0.00138409,0.00066157,-1.00000000,0.10225765,0.00000000
0.00140624,0.00064991,-1.00000000,0.10225765,0.00000000
0.00142832,0.00063812,-1.00000000,0.10491370,0.00000000
0.00145028,0.00062610,-1.00000000,0.10756974,0.00000000
0.00147213,0.00061388,-1.00000000,0.10756974,0.00000000
0.00149390,0.00060153,-1.00000000,0.11022578,0.00000000
0.00151556,0.00058898,-1.00000000,0.11288182,0.00000000
0.00153709,0.00057622,-1.00000000,0.11288182,0.00000000
0.00155855,0.00056333,-1.00000000,0.11553786,0.00000000
0.00157988,0.00055022,-1.00000000,0.11819390,0.00000000
0.00160109,0.00053694,-1.00000000,0.11819390,0.00000000
0.00162222,0.00052352,-1.00000000,0.12084995,0.00000000
0.00164322,0.00050989,-1.00000000,0.12350599,0.00000000
0.00166409,0.00049607,-1.00000000,0.12350599,0.00000000
0.00168487,0.00048212,-1.00000000,0.12616203,0.00000000
0.00170553,0.00046797,-1.00000000,0.12881807,0.00000000
0.00172605,0.00045364,-1.00000000,0.12881807,0.00000000
0.00174648,0.00043917,-1.00000000,0.13147411,0.00000000
0.00176676,0.00042450,-1.00000000,0.13413015,0.00000000
0.00178692,0.00040966,-1.00000000,0.13413015,0.00000000
0.00180698,0.00039469,-1.00000000,0.13678619,0.00000000
0.00182690,0.00037953,-1.00000000,0.13944223,0.00000000
0.00184667,0.00036418,-1.00000000,0.13944223,0.00000000
0.00186635,0.00034871,-1.00000000,0.14209828,0.00000000
0.00188588,0.00033305,-1.00000000,0.14475432,0.00000000
0.00190527,0.00031722,-1.00000000,0.14475432,0.00000000
0.00192456,0.00030127,-1.00000000,0.14741036,0.00000000
0.00194369,0.00028511,-1.00000000,0.15006640,0.00000000
0.00196267,0.00026880,-1.00000000,0.15006640,0.00000000
0.00198156,0.00025237,-1.00000000,0.15272244,0.00000000
0.00200028,0.00023576,-1.00000000,0.15537848,0.00000000
0.00201885,0.00021897,-1.00000000,0.15537848,0.00000000
0.00203731,0.00020206,-1.00000000,0.15803453,0.00000000
0.00205561,0.00018498,-1.00000000,0.16069057,0.00000000
0.00207376,0.00016774,-1.00000000,0.16069057,0.00000000
0.00209180,0.00015039,-1.00000000,0.16334661,0.00000000
0.00210965,0.00013285,-1.00000000,0.16600265,0.00000000
0.00212736,0.00011515,-1.00000000,0.16600265,0.00000000
0.00214496,0.00009735,-1.00000000,0.16865869,0.00000000
0.00216239,0.00007938,-1.00000000,0.17131474,0.00000000
0.00217964,0.00006125,-1.00000000,0.17131474,0.00000000
0.00219678,0.00004300,-1.00000000,0.17397078,0.00000000
0.00221375,0.00002460,-1.00000000,0.17662682,0.00000000
0.00223055,0.00000604,-1.00000000,0.17662682,0.00000000
0.00224724,-0.00001261,-1.00000000,0.17928286,0.00000000
0.00226373,-0.00003145,-1.00000000,0.18193891,0.00000000
0.00228006,-0.00005042,-1.00000000,0.18193891,0.00000000
0.00229627,-0.00006949,-1.00000000,0.18459495,0.00000000
0.00231230,-0.00008872,-1.00000000,0.18725099,0.00000000
0.00232815,-0.00010810,-1.00000000,0.18725099,0.00000000
0.00234387,-0.00012757,-1.00000000,0.18990704,0.00000000
0.00235941,-0.00014720,-1.00000000,0.19256308,0.00000000
0.00237477,-0.00016696,-1.00000000,0.19256308,0.00000000
0.00239001,-0.00018682,-1.00000000,0.19521913,0.00000000
0.00240504,-0.00020684,-1.00000000,0.19787517,0.00000000
0.00241990,-0.00022698,-1.00000000,0.19787517,0.00000000
0.00243464,-0.00024722,-1.00000000,0.20053121,0.00000000
0.00244918,-0.00026759,-1.00000000,0.20318726,0.00000000
0.00246353,-0.00028810,-1.00000000,0.20318726,0.00000000
0.00247775,-0.00030870,-1.00000000,0.20584331,0.00000000
0.00249177,-0.00032944,-1.00000000,0.20849935,0.00000000
0.00250561,-0.00035030,-1.00000000,0.20849935,0.00000000
0.00251932,-0.00037124,-1.00000000,0.21115539,0.00000000
0.00253280,-0.00039233,-1.00000000,0.21381144,0.00000000
0.00254611,-0.00041353,-1.00000000,0.21381144,0.00000000
0.00255928,-0.00043482,-1.00000000,0.21646748,0.00000000
0.00257226,-0.00045623,-1.00000000,0.21912352,0.00000000
0.00258503,-0.00047776,-1.00000000,0.21912352,0.00000000
0.00259766,-0.00049937,-1.00000000,0.22177957,0.00000000
0.00261008,-0.00052110,-1.00000000,0.22443561,0.00000000
0.00262232,-0.00054294,-1.00000000,0.22443561,0.00000000
0.00263441,-0.00056485,-1.00000000,0.22709165,0.00000000
0.00264628,-0.00058689,-1.00000000,0.22974769,0.00000000
0.00265796,-0.00060903,-1.00000000,0.22974769,0.00000000
0.00266950,-0.00063125,-1.00000000,0.23240374,0.00000000
0.00268083,-0.00065357,-1.00000000,0.23505978,0.00000000
0.00269195,-0.00067600,-1.00000000,0.23505978,0.00000000
0.00270293,-0.00069849,-1.00000000,0.23771582,0.00000000
0.00271368,-0.00072110,-1.00000000,0.24037186,0.00000000
0.00272424,-0.00074379,-1.00000000,0.24037186,0.00000000
0.00273466,-0.00076655,-1.00000000,0.24302790,0.00000000
0.00274485,-0.00078942,-1.00000000,0.24568395,0.00000000
0.00275483,-0.00081237,-1.00000000,0.24568395,0.00000000
0.00276467,-0.00083539,-1.00000000,0.24833999,0.00000000
0.00277429,-0.00085850,-1.00000000,0.25099603,0.00000000
0.00278370,-0.00088170,-1.00000000,0.25099603,0.00000000
0.00279296,-0.00090495,-1.00000000,0.25365207,0.00000000
0.00280199,-0.00092830,-1.00000000,0.25630811,0.00000000
0.00281081,-0.00095172,-1.00000000,0.25630811,0.00000000
0.00281949,-0.00097520,-1.00000000,0.25896415,0.00000000
0.00282794,-0.00099877,-1.00000000,0.26162019,0.00000000
0.00283617,-0.00102241,-1.00000000,0.26162019,0.00000000
0.00284425,-0.00104610,-1.00000000,0.26427624,0.00000000
0.00285211,-0.00106986,-1.00000000,0.26693228,0.00000000
0.00285975,-0.00109370,-1.00000000,0.26693228,0.00000000
0.00286725,-0.00111759,-1.00000000,0.26958832,0.00000000
0.00287449,-0.00114155,-1.00000000,0.27224436,0.00000000
0.00288154,-0.00116557,-1.00000000,0.27224436,0.00000000
0.00288843,-0.00118963,-1.00000000,0.27490040,0.00000000
0.00289509,-0.00121376,-1.00000000,0.27755644,0.00000000
0.00290152,-0.00123795,-1.00000000,0.27755644,0.00000000
0.00290780,-0.00126218,-1.00000000,0.28021248,0.00000000
0.00291386,-0.00128647,-1.00000000,0.28286852,0.00000000
0.00291969,-0.00131081,-1.00000000,0.28286852,0.00000000
0.00292537,-0.00133519,-1.00000000,0.28552457,0.00000000
0.00293080,-0.00135963,-1.00000000,0.28818061,0.00000000
0.00293602,-0.00138411,-1.00000000,0.28818061,0.00000000
0.00294109,-0.00140863,-1.00000000,0.29083665,0.00000000
