x,y,z
-0.00107,-0.00202,-0.005
-0.001045,-0.00202,-0.005
-0.00102,-0.00202,-0.005
-0.000995,-0.00202,-0.005
-0.00097,-0.00202,-0.005
-0.000945,-0.00202,-0.005
-0.00092,-0.00202,-0.005
-0.000895,-0.00202,-0.005
-0.00087,-0.00202,-0.005
-0.000845,-0.00202,-0.005
-0.00082,-0.00202,-0.005
-0.000795,-0.00202,-0.005
-0.00077,-0.00202,-0.005
-0.000745,-0.00202,-0.005
-0.00072,-0.00202,-0.005
-0.000695,-0.00202,-0.005
-0.00067,-0.00202,-0.005
-0.000645,-0.00202,-0.005
-0.00062,-0.00202,-0.005
-0.000595,-0.00202,-0.005
-0.00057,-0.00202,-0.005
-0.000545,-0.00202,-0.005
-0.00052,-0.00202,-0.005
-0.000495,-0.00202,-0.005
-0.00047,-0.00202,-0.005
-0.000445,-0.00202,-0.005
-0.00042,-0.00202,-0.005
-0.000395,-0.00202,-0.005
-0.00037,-0.00202,-0.005
-0.000345,-0.00202,-0.005
-0.00032,-0.00202,-0.005
-0.000295,-0.00202,-0.005
-0.00027,-0.00202,-0.005
-0.000245,-0.00202,-0.005
-0.00022,-0.00202,-0.005
-0.000195,-0.00202,-0.005
-0.00017,-0.00202,-0.005
-0.000145,-0.00202,-0.005
-0.00012,-0.00202,-0.005
-9.5e-05,-0.00202,-0.005
-7e-05,-0.00202,-0.005
-4.5e-05,-0.00202,-0.005
-2e-05,-0.00202,-0.005
5e-06,-0.00202,-0.005
3e-05,-0.00202,-0.005
5.5e-05,-0.00202,-0.005
8e-05,-0.00202,-0.005
0.000105,-0.00202,-0.005
0.00013,-0.00202,-0.005
0.000155,-0.00202,-0.005
