x,y,d,s,T
0.00153883,0.00336834,1.00000000,0.67299526,0.00000000
0.00156229,0.00337701,1.00000000,0.67567568,0.00000000
0.00158575,0.00338568,1.00000000,0.67699535,0.00000000
0.00160920,0.00339435,0.99998902,0.67868349,0.00000000
0.00163281,0.00340261,1.00000000,0.68099545,0.00000000
0.00165642,0.00341085,1.00000000,0.68168168,0.00000000
0.00168003,0.00341909,1.00000000,0.68468468,0.00000000
0.00170364,0.00342733,0.99999389,0.68468738,0.00000000
0.00172737,0.00343525,1.00000000,0.68768769,0.00000000
0.00175110,0.00344314,1.00000000,0.68799268,0.00000000
0.00177484,0.00345102,1.00000000,0.69069069,0.00000000
0.00179857,0.00345890,0.99999964,0.69199291,0.00000000
0.00182237,0.00346659,1.00000000,0.69369369,0.00000000
0.00184620,0.00347417,1.00000000,0.69369369,0.00000000
0.00187003,0.00348175,1.00000000,0.69669670,0.00000000
0.00189386,0.00348934,1.00000000,0.69698996,0.00000000
0.00191772,0.00349685,0.99999438,0.69970224,0.00000000
0.00194163,0.00350418,1.00000000,0.70099005,0.00000000
0.00196554,0.00351151,1.00000000,0.70270270,0.00000000
0.00198945,0.00351884,1.00000000,0.70270270,0.00000000
0.00201336,0.00352617,0.99999853,0.70570638,0.00000000
0.00203732,0.00353335,1.00000000,0.70598724,0.00000000
0.00206129,0.00354047,1.00000000,0.70870871,0.00000000
0.00208527,0.00354759,1.00000000,0.70870871,0.00000000
0.00210924,0.00355470,1.00000000,0.71171171,0.00000000
0.00213322,0.00356182,0.99999176,0.71171557,0.00000000
0.00215724,0.00356876,1.00000000,0.71471471,0.00000000
0.00218127,0.00357570,1.00000000,0.71471471,0.00000000
0.00220530,0.00358264,1.00000000,0.71698456,0.00000000
0.00222932,0.00358958,1.00000000,0.71771772,0.00000000
0.00225336,0.00359649,1.00000000,0.72072072,0.00000000
0.00227743,0.00360329,1.00000000,0.72072072,0.00000000
0.00230150,0.00361008,1.00000000,0.72198175,0.00000000
0.00232556,0.00361688,1.00000000,0.72372372,0.00000000
0.00234963,0.00362367,1.00000000,0.72372372,0.00000000
0.00237371,0.00363044,1.00000000,0.72672673,0.00000000
0.00239781,0.00363711,1.00000000,0.72672673,0.00000000
0.00242191,0.00364379,1.00000000,0.72897898,0.00000000
0.00244601,0.00365047,1.00000000,0.72972973,0.00000000
0.00247011,0.00365715,1.00000000,0.73273273,0.00000000
0.00249422,0.00366380,0.99999801,0.73273372,0.00000000
0.00251835,0.00367039,1.00000000,0.73397616,0.00000000
0.00254248,0.00367697,1.00000000,0.73573574,0.00000000
0.00256660,0.00368356,1.00000000,0.73573574,0.00000000
0.00259073,0.00369014,1.00000000,0.73873874,0.00000000
0.00261486,0.00369672,1.00000000,0.73873874,0.00000000
0.00263900,0.00370323,1.00000000,0.74097340,0.00000000
0.00266315,0.00370975,1.00000000,0.74174174,0.00000000
0.00268729,0.00371627,1.00000000,0.74197049,0.00000000
0.00271144,0.00372279,1.00000000,0.74474474,0.00000000
0.00273558,0.00372930,0.99999774,0.74597161,0.00000000
0.00275974,0.00373578,1.00000000,0.74774775,0.00000000
0.00278390,0.00374225,1.00000000,0.74774775,0.00000000
0.00280805,0.00374872,1.00000000,0.75075075,0.00000000
0.00283221,0.00375519,1.00000000,0.75075075,0.00000000
0.00285637,0.00376167,0.99999985,0.75296788,0.00000000
0.00288053,0.00376812,1.00000000,0.75375375,0.00000000
0.00290469,0.00377457,1.00000000,0.75396490,0.00000000
0.00292886,0.00378102,1.00000000,0.75675676,0.00000000
0.00295302,0.00378747,1.00000000,0.75675676,0.00000000
0.00297718,0.00379391,0.99999998,0.75975977,0.00000000
0.00300135,0.00380036,1.00000000,0.75975976,0.00000000
0.00302551,0.00380681,1.00000000,0.76096213,0.00000000
0.00304968,0.00381325,1.00000000,0.76276276,0.00000000
0.00307384,0.00381970,1.00000000,0.76276276,0.00000000
0.00309800,0.00382615,1.00000000,0.76576577,0.00000000
0.00312217,0.00383260,1.00000000,0.76576577,0.00000000
0.00314633,0.00383907,1.00000000,0.76795937,0.00000000
0.00317048,0.00384553,1.00000000,0.76876877,0.00000000
0.00319464,0.00385200,1.00000000,0.77177177,0.00000000
0.00321880,0.00385846,1.00000000,0.77177177,0.00000000
0.00324296,0.00386494,1.00000000,0.77295655,0.00000000
0.00326711,0.00387144,1.00000000,0.77477477,0.00000000
0.00329126,0.00387795,1.00000000,0.77477477,0.00000000
0.00331540,0.00388445,1.00000000,0.77777778,0.00000000
0.00333955,0.00389096,1.00000000,0.77777778,0.00000000
0.00336370,0.00389747,1.00000000,0.77995378,0.00000000
0.00338783,0.00390404,1.00000000,0.78078078,0.00000000
0.00341196,0.00391061,1.00000000,0.78095087,0.00000000
0.00343609,0.00391718,1.00000000,0.78378378,0.00000000
0.00346022,0.00392374,1.00000000,0.78378378,0.00000000
0.00348435,0.00393032,1.00000000,0.78678679,0.00000000
0.00350846,0.00393697,1.00000000,0.78678679,0.00000000
0.00353257,0.00394362,1.00000000,0.78978979,0.00000000
0.00355668,0.00395028,1.00000000,0.78978979,0.00000000
0.00358079,0.00395693,1.00000000,0.79194820,0.00000000
0.00360489,0.00396359,1.00000000,0.79278953,0.00000000
0.00362897,0.00397035,1.00000000,0.79294529,0.00000000
0.00365305,0.00397712,1.00000000,0.79579580,0.00000000
0.00367712,0.00398388,1.00000000,0.79579580,0.00000000
